date,open,high,low,close,volume
2022-05-12,120.00000000,121.90000000,115.60000000,116.60000000,677157
2022-05-13,117.90000000,117.93000000,115.33000000,116.70000000,390370
2022-05-16,116.10000000,119.89000000,116.00000000,119.84000000,474415
2022-05-17,120.80000000,124.00000000,120.05000000,123.80000000,364205
2022-05-18,123.70000000,127.30000000,122.10000000,122.33000000,501971
2022-05-19,122.40000000,123.47000000,120.30000000,122.81000000,237150
2022-05-20,123.40000000,124.70000000,118.38000000,119.94000000,481713
2022-05-23,119.00000000,119.14000000,117.00000000,117.05000000,329037
2022-05-24,117.00000000,121.72000000,115.00000000,118.74000000,622602
2022-05-25,119.50000000,121.02000000,114.69000000,115.99000000,1681265
2022-05-26,117.00000000,117.63000000,113.49000000,113.75000000,1585535
2022-05-27,113.90000000,114.34000000,111.38000000,111.58000000,1283988
2022-05-30,111.20000000,113.65000000,111.20000000,111.84000000,844606
2022-05-31,111.70000000,112.69000000,109.08000000,111.61000000,518548
2022-06-01,112.00000000,114.50000000,111.68000000,113.19000000,501952
2022-06-02,113.35000000,114.25000000,111.80000000,112.11000000,332781
2022-06-03,112.12000000,113.15000000,110.55000000,112.02000000,370367
2022-06-04,112.20000000,114.41000000,110.58000000,110.77000000,2952
2022-06-05,114.15000000,115.13000000,110.74000000,112.84000000,3795
2022-06-06,112.50000000,113.82000000,111.63000000,113.70000000,449084
2022-06-07,113.75000000,113.80000000,112.30000000,113.00000000,314528
2022-06-08,113.70000000,117.48000000,112.10000000,115.14000000,685495
2022-06-09,115.30000000,115.60000000,112.75000000,113.94000000,475316
2022-06-10,114.00000000,115.30000000,113.63000000,114.10000000,256308
2022-06-11,113.92000000,114.34000000,113.74000000,113.74000000,1403
2022-06-12,113.69000000,114.19000000,113.58000000,113.80000000,1222
2022-06-13,114.16000000,114.66000000,111.52000000,112.07000000,7569
2022-06-14,113.91000000,115.45000000,110.00000000,114.49000000,373725
2022-06-15,115.40000000,118.00000000,114.76000000,116.51000000,800342
2022-06-16,117.09000000,118.00000000,116.00000000,117.39000000,610945
2022-06-17,117.90000000,119.08000000,117.52000000,118.40000000,427114
2022-06-18,118.16000000,118.65000000,117.72000000,117.84000000,1387
2022-06-19,117.84000000,119.40000000,117.83000000,119.39000000,1648
2022-06-20,118.73000000,124.90000000,118.32000000,124.84000000,673788
2022-06-21,125.90000000,126.95000000,122.01000000,123.30000000,761270
2022-06-22,122.00000000,127.80000000,121.03000000,127.80000000,697107
2022-06-23,128.00000000,132.10000000,125.70000000,130.50000000,809227
2022-06-24,130.00000000,131.66000000,128.11000000,130.18000000,391723
